no real user sys rows
369 0.007 0.005 0 0
370 0.006 0.005 0 0
371 0.006 0 0.005 0
372 0.006 0.005 0 0
373 0.007 0.005 0 0
374 0.007 0.003 0.002 0
375 0.013 0.005 0 0
376 0.006 0.005 0 1
377 0.006 0.005 0 0
378 0.006 0.005 0 0
379 0.006 0.005 0 0
380 0.008 0 0.005 1
381 0.007 0.005 0 1
382 0.012 0 0.005 0
383 0.008 0 0.005 0
384 0.006 0.005 0 0
385 0.013 0.005 0 0
386 0.008 0.005 0 0
387 0.007 0.005 0 0
388 0.008 0.005 0 0
389 0.011 0 0.005 0
390 0.006 0.005 0 1
391 0.013 0.003 0.002 1
392 0.006 0.005 0 0
393 0.008 0.005 0 0
394 0.013 0.005 0 0
395 0.006 0.005 0 0
396 0.006 0 0.005 0
397 0.006 0.005 0 0
398 0.006 0.005 0 0
399 0.007 0 0.005 0
400 0.007 0 0.005 0
401 0.009 0.005 0 0
402 0.006 0.001 0.004 0
403 0.007 0 0.005 0
404 0.011 0.005 0 0
405 0.007 0.005 0 1
406 0.006 0.005 0 0
407 0.006 0 0.005 0
408 0.006 0.005 0 0
409 0.006 0 0.005 0
410 0.006 0.005 0 1
411 0.006 0.005 0 0
412 0.006 0.005 0 0
413 0.013 0.005 0 0
414 0.007 0.005 0 0
415 0.006 0.005 0 1
416 0.006 0.005 0 0
417 0.006 0 0.005 0
418 0.007 0 0.005 0
419 0.006 0 0.005 0
420 0.008 0.005 0 1
421 0.007 0.005 0 0
422 0.006 0.005 0 0
423 0.006 0.003 0.002 0
424 0.006 0.005 0 0
425 0.007 0.005 0 0
426 0.009 0 0.005 0
427 0.006 0.005 0 0
428 0.007 0.005 0 0
429 0.006 0 0.005 0
430 0.007 0.005 0 1
431 0.008 0.005 0 0
432 0.007 0.005 0 0
433 0.006 0.005 0 0
434 0.007 0.003 0.003 0
435 0.006 0 0.005 0
436 0.006 0 0.005 0
437 0.007 0 0.005 0
438 0.006 0.005 0 0
439 0.006 0.005 0 1
440 0.006 0 0.005 0
